"Stn","year","month","day","Tg","Tn","Tx"
4,1946,1,1,-29,-45,-6
4,1946,1,2,-21,-45,4
4,1946,1,3,-28,-66,-6
4,1946,1,4,-28,-66,-10
4,1946,1,5,11,-10,25
4,1946,1,6,23,16,34
4,1946,1,7,10,-19,32
4,1946,1,8,-16,-28,-5
4,1946,1,9,35,-5,60
4,1946,1,10,68,49,87
4,1946,1,11,96,67,114
4,1946,1,12,62,26,88
4,1946,1,13,1,-18,27
4,1946,1,14,-17,-35,9
4,1946,1,15,-22,-55,14
4,1946,1,16,-21,-34,-1
4,1946,1,17,-48,-64,-28
4,1946,1,18,-51,-72,-23
4,1946,1,19,-34,-47,-14
4,1946,1,20,-14,-34,1
4,1946,1,21,-28,-67,-2
4,1946,1,22,-59,-93,-30
4,1946,1,23,-47,-77,-24
4,1946,1,24,-28,-54,10
4,1946,1,25,-28,-50,-10
4,1946,1,26,-33,-72,28
4,1946,1,27,1,-48,38
4,1946,1,28,6,-11,21
4,1946,1,29,31,3,55
4,1946,1,30,38,3,75
4,1946,1,31,25,7,56
4,1946,2,1,67,30,91
4,1946,2,2,63,51,81
4,1946,2,3,73,60,100
4,1946,2,4,67,42,91
4,1946,2,5,57,42,71
4,1946,2,6,42,15,60
4,1946,2,7,67,35,99
4,1946,2,8,62,44,92
4,1946,2,9,41,23,65
4,1946,2,10,42,9,68
4,1946,2,11,56,41,75
4,1946,2,12,33,14,62
4,1946,2,13,31,7,62
4,1946,2,14,43,1,66
4,1946,2,15,64,49,82
4,1946,2,16,59,44,73
4,1946,2,17,52,40,69
4,1946,2,18,66,51,88
4,1946,2,19,62,42,78
4,1946,2,20,25,6,44
4,1946,2,21,10,-3,28
4,1946,2,22,-4,-36,21
4,1946,2,23,29,-3,73
4,1946,2,24,8,-15,28
4,1946,2,25,4,-22,40
4,1946,2,26,-1,-36,35
4,1946,2,27,5,-10,31
4,1946,2,28,-4,-18,22
4,1946,3,1,-12,-18,-6
4,1946,3,2,-6,-29,6
4,1946,3,3,-7,-55,29
4,1946,3,4,10,4,14
4,1946,3,5,7,1,19
4,1946,3,6,1,-7,4
4,1946,3,7,-14,-20,-6
4,1946,3,8,-18,-26,-8
4,1946,3,9,1,-16,12
4,1946,3,10,5,2,11
4,1946,3,11,11,4,21
4,1946,3,12,20,11,29
4,1946,3,13,8,-3,23
4,1946,3,14,3,-12,18
4,1946,3,15,-16,-26,-4
4,1946,3,16,-14,-38,14
4,1946,3,17,-2,-52,45
4,1946,3,18,44,6,76
4,1946,3,19,85,32,139
4,1946,3,20,92,26,164
4,1946,3,21,81,38,107
4,1946,3,22,78,38,106
4,1946,3,23,63,38,103
4,1946,3,24,61,4,115
4,1946,3,25,58,6,105
4,1946,3,26,73,43,103
4,1946,3,27,94,64,127
4,1946,3,28,92,51,141
4,1946,3,29,77,35,145
4,1946,3,30,61,24,124
4,1946,3,31,54,26,109
4,1946,4,1,56,-8,125
4,1946,4,2,91,-8,190
4,1946,4,3,142,60,224
4,1946,4,4,153,75,237
4,1946,4,5,104,50,198
4,1946,4,6,59,10,92
4,1946,4,7,64,-4,122
4,1946,4,8,86,56,120
4,1946,4,9,56,-8,95
4,1946,4,10,38,-8,80
4,1946,4,11,54,14,86
4,1946,4,12,78,41,110
4,1946,4,13,96,54,137
4,1946,4,14,101,53,164
4,1946,4,15,121,50,192
4,1946,4,16,129,50,221
4,1946,4,17,98,54,137
4,1946,4,18,62,-4,98
4,1946,4,19,54,-11,111
4,1946,4,20,72,-30,152
4,1946,4,21,64,12,114
4,1946,4,22,48,-4,100
4,1946,4,23,71,-21,134
4,1946,4,24,86,44,123
4,1946,4,25,99,44,142
4,1946,4,26,154,69,235
4,1946,4,27,154,85,233
4,1946,4,28,128,43,180
4,1946,4,29,118,87,162
4,1946,4,30,114,51,172
4,1946,5,1,111,74,170
4,1946,5,2,94,74,140
4,1946,5,3,90,56,134
4,1946,5,4,91,55,143
4,1946,5,5,69,0,105
4,1946,5,6,108,-13,191
4,1946,5,7,124,75,202
4,1946,5,8,93,52,138
4,1946,5,9,105,34,179
4,1946,5,10,94,19,154
4,1946,5,11,97,58,150
4,1946,5,12,130,47,218
4,1946,5,13,92,70,126
4,1946,5,14,77,44,99
4,1946,5,15,66,8,116
4,1946,5,16,68,-15,129
4,1946,5,17,102,33,157
4,1946,5,18,106,74,146
4,1946,5,19,133,90,172
4,1946,5,20,169,109,239
4,1946,5,21,137,102,178
4,1946,5,22,116,75,147
4,1946,5,23,149,94,218
4,1946,5,24,131,84,182
4,1946,5,25,145,92,195
4,1946,5,26,165,111,231
4,1946,5,27,155,113,200
4,1946,5,28,169,105,220
4,1946,5,29,195,130,262
4,1946,5,30,153,126,187
4,1946,5,31,144,112,183
4,1946,6,1,132,96,178
4,1946,6,2,118,94,152
4,1946,6,3,119,85,160
4,1946,6,4,127,88,168
4,1946,6,5,150,110,196
4,1946,6,6,134,90,169
4,1946,6,7,133,74,192
4,1946,6,8,157,98,232
4,1946,6,9,151,123,171
4,1946,6,10,147,114,198
4,1946,6,11,118,65,159
4,1946,6,12,126,53,182
4,1946,6,13,135,99,175
4,1946,6,14,112,90,134
4,1946,6,15,126,94,165
4,1946,6,16,122,79,160
4,1946,6,17,126,79,171
4,1946,6,18,119,80,169
4,1946,6,19,122,86,162
4,1946,6,20,115,73,153
4,1946,6,21,126,54,185
4,1946,6,22,119,55,162
4,1946,6,23,137,87,190
4,1946,6,24,137,118,160
4,1946,6,25,144,93,185
4,1946,6,26,153,86,228
4,1946,6,27,160,113,197
4,1946,6,28,147,81,191
4,1946,6,29,150,73,200
4,1946,6,30,162,112,196
4,1946,7,1,177,126,216
4,1946,7,2,209,125,272
4,1946,7,3,224,170,279
4,1946,7,4,242,169,325
4,1946,7,5,168,145,200
4,1946,7,6,147,91,188
4,1946,7,7,135,84,173
4,1946,7,8,146,85,190
4,1946,7,9,168,85,225
4,1946,7,10,149,106,189
4,1946,7,11,159,88,210
4,1946,7,12,171,113,233
4,1946,7,13,190,65,265
4,1946,7,14,170,135,214
4,1946,7,15,127,82,176
4,1946,7,16,123,75,165
4,1946,7,17,153,86,213
4,1946,7,18,149,91,212
4,1946,7,19,165,123,211
4,1946,7,20,155,112,200
4,1946,7,21,146,86,198
4,1946,7,22,150,125,170
4,1946,7,23,178,148,206
4,1946,7,24,218,138,291
4,1946,7,25,177,107,208
4,1946,7,26,196,77,266
4,1946,7,27,178,105,221
4,1946,7,28,146,86,200
4,1946,7,29,135,100,184
4,1946,7,30,161,113,190
4,1946,7,31,145,110,170
4,1946,8,1,132,81,183
4,1946,8,2,149,75,194
4,1946,8,3,152,114,180
4,1946,8,4,165,92,224
4,1946,8,5,202,113,273
4,1946,8,6,181,126,216
4,1946,8,7,166,126,206
4,1946,8,8,153,126,201
4,1946,8,9,152,116,192
4,1946,8,10,178,116,238
4,1946,8,11,161,108,210
4,1946,8,12,160,103,221
4,1946,8,13,147,124,184
4,1946,8,14,134,104,172
4,1946,8,15,129,84,180
4,1946,8,16,126,59,184
4,1946,8,17,140,112,173
4,1946,8,18,157,112,194
4,1946,8,19,147,94,192
4,1946,8,20,151,100,194
4,1946,8,21,152,110,211
4,1946,8,22,146,86,202
4,1946,8,23,141,101,185
4,1946,8,24,161,119,217
4,1946,8,25,165,101,231
4,1946,8,26,151,126,176
4,1946,8,27,137,90,187
4,1946,8,28,138,71,202
4,1946,8,29,150,115,194
4,1946,8,30,142,100,189
4,1946,8,31,137,96,184
4,1946,9,1,135,76,198
4,1946,9,2,130,90,170
4,1946,9,3,141,93,184
4,1946,9,4,156,124,201
4,1946,9,5,134,107,165
4,1946,9,6,152,113,197
4,1946,9,7,133,100,183
4,1946,9,8,140,88,200
4,1946,9,9,136,90,177
4,1946,9,10,134,102,172
4,1946,9,11,135,111,164
4,1946,9,12,141,78,185
4,1946,9,13,123,64,181
4,1946,9,14,125,81,161
4,1946,9,15,132,77,170
4,1946,9,16,115,53,180
4,1946,9,17,119,82,150
4,1946,9,18,136,99,156
4,1946,9,19,124,84,147
4,1946,9,20,142,98,184
4,1946,9,21,124,89,165
4,1946,9,22,128,83,155
4,1946,9,23,134,105,154
4,1946,9,24,132,105,170
4,1946,9,25,141,91,175
4,1946,9,26,174,120,224
4,1946,9,27,173,127,238
4,1946,9,28,160,90,233
4,1946,9,29,146,115,196
4,1946,9,30,155,135,200
4,1946,10,1,134,113,154
4,1946,10,2,129,96,162
4,1946,10,3,124,82,158
4,1946,10,4,136,86,170
4,1946,10,5,111,86,146
4,1946,10,6,104,75,136
4,1946,10,7,109,85,128
4,1946,10,8,100,75,121
4,1946,10,9,96,70,129
4,1946,10,10,85,48,134
4,1946,10,11,81,6,156
4,1946,10,12,95,20,136
4,1946,10,13,111,66,133
4,1946,10,14,105,76,142
4,1946,10,15,103,80,125
4,1946,10,16,100,80,125
4,1946,10,17,100,86,120
4,1946,10,18,89,62,108
4,1946,10,19,78,30,131
4,1946,10,20,101,40,147
4,1946,10,21,129,99,160
4,1946,10,22,94,64,120
4,1946,10,23,46,6,74
4,1946,10,24,12,-22,57
4,1946,10,25,7,-30,58
4,1946,10,26,13,-29,60
4,1946,10,27,30,14,55
4,1946,10,28,66,44,103
4,1946,10,29,66,23,104
4,1946,10,30,52,26,86
4,1946,10,31,47,15,67
4,1946,11,1,35,16,45
4,1946,11,2,35,10,66
4,1946,11,3,72,32,87
4,1946,11,4,84,74,92
4,1946,11,5,53,23,82
4,1946,11,6,41,16,56
4,1946,11,7,6,-4,24
4,1946,11,8,0,-14,11
4,1946,11,9,29,-3,49
4,1946,11,10,54,15,86
4,1946,11,11,50,-16,81
4,1946,11,12,61,8,80
4,1946,11,13,73,30,104
